Country,Observation_Year,CovidPeriod,Online_Learning_Users (%),Average_Screen_Time (Hours),DeviceUsage(%),Preferred_Learning_Platform
Italy,2024,After,40,2.3,60-30-10,LinkedIn Learning
Russia,2024,After,19,2.6,60-30-10,FutureLearn
Italy,2018,Before,74,3.4,60-30-10,OpenLearning
Japan,2020,During,53,4.7,60-30-10,Tencent Classroom
Italy,2021,During,38,2.5,40-50-10,Alura
China,2022,After,80,0.8,60-30-10,Udemy
Brazil,2023,After,66,3.8,50-40-10,LinkedIn Learning
Russia,2024,After,46,2.1,60-30-10,LinkedIn Learning
Russia,2018,Before,27,3.5,60-30-10,Coursera
Germany,2018,Before,16,1.0,60-30-10,Unacademy
South Africa,2020,During,55,0.7,60-30-10,OpenLearning
South Korea,2023,After,23,1.8,60-30-10,Coursera
Japan,2022,After,22,4.5,60-30-10,Coursera
South Africa,2018,Before,23,5.1,60-30-10,LinkedIn Learning
UK,2021,During,10,2.1,60-30-10,Unacademy
Germany,2020,During,78,0.7,60-30-10,Tencent Classroom
UK,2020,During,72,4.2,60-30-10,LinkedIn Learning
Italy,2021,During,89,3.4,60-30-10,Coursera
Italy,2022,After,16,2.0,60-30-10,Tencent Classroom
UK,2024,After,32,2.5,60-30-10,LinkedIn Learning
France,2020,During,11,3.1,50-40-10,Skillshare
Russia,2021,During,87,5.2,60-30-10,Alura
Brazil,2021,During,69,1.5,60-30-10,Skillshare
France,2024,After,10,4.6,60-30-10,OpenLearning
Germany,2019,Before,66,0.8,40-50-10,Udemy
China,2018,Before,81,5.0,60-30-10,Alura
Brazil,2021,During,67,4.8,60-30-10,Skillshare
South Africa,2020,During,25,5.3,60-30-10,Skillshare
China,2017,Before,20,,60-30-10,Coursera
South Africa,2023,After,40,3.2,60-30-10,Coursera
Mexico,2021,During,46,3.6,60-30-10,FutureLearn
Germany,2022,After,32,1.6,60-30-10,LinkedIn Learning
Japan,2021,During,65,1.1,60-30-10,Alura
Mexico,2020,During,67,1.5,60-30-10,FutureLearn
Brazil,2024,After,81,2.2,60-30-10,Unacademy
Japan,2024,After,39,1.6,60-30-10,Coursera
Italy,2020,During,12,5.2,60-30-10,OpenLearning
South Korea,2021,During,56,1.7,60-30-10,Alura
Australia,2020,During,40,3.0,60-30-10,Unacademy
Brazil,2022,After,65,0.6,60-30-10,Udemy
Japan,2024,After,48,4.0,60-30-10,Udemy
France,2021,During,86,3.2,60-30-10,FutureLearn
China,2023,After,20,5.2,60-30-10,Alura
South Korea,2017,Before,44,N/A,60-30-10,FutureLearn
South Korea,2019,Before,65,3.8,60-30-10,OpenLearning
UK,2019,Before,86,3.2,60-30-10,Skillshare
Mexico,2021,During,75,,60-30-10,Alura
Russia,2020,During,43,4.1,60-30-10,Udemy
Japan,2019,Before,44,3.5,60-30-10,Coursera
France,2017,Before,65,4.1,60-30-10,Udemy
Italy,2022,After,84,1.4,60-30-10,Tencent Classroom
Brazil,2017,Before,55,3.8,60-30-10,Unacademy
Brazil,2018,Before,13,4.1,60-30-10,Tencent Classroom
South Korea,2024,After,43,5.2,60-30-10,Skillshare
China,2017,Before,80,5.0,60-30-10,Coursera
France,2018,Before,21,3.5,60-30-10,Tencent Classroom
South Korea,2017,Before,23,5.0,60-30-10,Skillshare
UK,2023,After,35,4.7,60-30-10,OpenLearning
Italy,2021,During,82,0.5,60-30-10,Skillshare
Japan,2017,Before,59,0.7,60-30-10,OpenLearning
South Korea,2018,Before,28,1.0,60-30-10,Skillshare
China,2021,During,60,2.1,60-30-10,FutureLearn
China,2019,Before,90,3.8,60-30-10,Udemy
Australia,2020,During,71,1.0,60-30-10,LinkedIn Learning
Germany,2022,After,73,0.6,60-30-10,OpenLearning
Japan,2024,After,39,5.3,60-30-10,FutureLearn
Russia,2024,After,14,3.3,60-30-10,Unacademy
Germany,2020,During,66,1.5,60-30-10,Unacademy
Italy,2019,Before,23,3.7,60-30-10,Unacademy
South Korea,2024,After,11,3.9,60-30-10,Tencent Classroom
UK,2019,Before,79,0.8,60-30-10,Alura
Mexico,2023,After,54,1.6,60-30-10,Alura
France,2023,After,75,1.8,60-30-10,Coursera
Mexico,2017,Before,70,5.2,60-30-10,LinkedIn Learning
South Africa,2022,After,62,2.3,60-30-10,FutureLearn
Mexico,2024,After,50,4.8,60-30-10,Tencent Classroom
Brazil,2018,Before,83,4.8,60-30-10,LinkedIn Learning
South Korea,2022,After,11,3.6,60-30-10,FutureLearn
Australia,2022,After,22,3.3,60-30-10,Alura
Italy,2024,After,49,1.3,60-30-10,Coursera
Brazil,2021,During,61,2.1,60-30-10,LinkedIn Learning
France,2020,During,26,4.2,60-30-10,FutureLearn
Russia,2021,During,50,1.6,60-30-10,Alura
Mexico,2023,After,80,1.0,60-30-10,Skillshare
China,2018,Before,83,3.3,60-30-10,FutureLearn
Italy,2019,Before,11,4.1,60-30-10,Unacademy
Australia,2017,Before,66,3.1,60-30-10,Udemy
UK,2024,After,63,5.0,60-30-10,
South Africa,2022,After,80,3.9,60-30-10,Tencent Classroom
Italy,2022,After,79,1.5,60-30-10,Coursera
Germany,2017,Before,76,3.3,60-30-10,Tencent Classroom
South Africa,2018,Before,44,,60-30-10,OpenLearning
Australia,2018,Before,90,3.6,60-30-10,Udemy
Germany,2022,After,11,5.2,60-30-10,Skillshare
Germany,2019,Before,89,2.0,,Unacademy
Brazil,2019,Before,12,1.5,60-30-10,Alura
South Korea,2022,After,34,4.7,60-30-10,FutureLearn
Australia,2021,During,28,1.4,60-30-10,Coursera
Brazil,2023,After,10,4.0,60-30-10,Alura
South Korea,2019,Before,58,1.1,60-30-10,Skillshare
Australia,2020,During,84,0.7,60-30-10,Alura
UK,2020,During,10,0.6,60-30-10,Tencent Classroom
Japan,2019,Before,69,1.1,60-30-10,Alura
South Korea,2020,During,85,4.4,60-30-10,Coursera
UK,2017,Before,37,0.6,60-30-10,LinkedIn Learning
Australia,2022,After,63,4.3,60-30-10,Tencent Classroom
Mexico,2020,During,82,4.7,60-30-10,LinkedIn Learning
Japan,2021,During,60,3.2,60-30-10,OpenLearning
South Korea,2024,After,11,1.8,60-30-10,LinkedIn Learning
South Africa,2020,During,20,3.8,60-30-10,OpenLearning
South Africa,2019,Before,62,5.3,60-30-10,FutureLearn
Brazil,2023,After,79,4.3,40-50-10,Udemy
Italy,2021,During,58,1.7,60-30-10,Coursera
Germany,2021,During,87,1.7,60-30-10,Tencent Classroom
Italy,2023,After,29,5.0,60-30-10,Alura
Mexico,2023,After,21,3.9,60-30-10,LinkedIn Learning
China,2023,After,45,2.7,60-30-10,FutureLearn
South Korea,2021,During,52,0.9,60-30-10,Coursera
Italy,2024,After,67,3.7,60-30-10,OpenLearning
South Korea,2018,Before,82,4.0,60-30-10,FutureLearn
Mexico,2022,After,46,1.3,60-30-10,Tencent Classroom
Brazil,2019,Before,15,2.6,60-30-10,OpenLearning
Brazil,2017,Before,25,2.9,60-30-10,OpenLearning
Mexico,2021,During,50,3.1,60-30-10,Coursera
Brazil,2019,Before,50,3.1,60-30-10,Skillshare
Germany,2017,Before,55,1.3,60-30-10,OpenLearning
South Korea,2020,During,40,3.6,60-30-10,LinkedIn Learning
France,2019,Before,44,4.6,60-30-10,Tencent Classroom
South Africa,2020,During,59,5.5,60-30-10,Unacademy
South Africa,2019,Before,63,1.3,60-30-10,Tencent Classroom
Russia,2020,During,62,5.1,60-30-10,Unacademy
UK,2023,After,44,2.4,60-30-10,Alura
UK,2020,During,62,5.0,60-30-10,Coursera
Mexico,2021,During,25,3.9,60-30-10,Coursera
Brazil,2021,During,57,2.0,60-30-10,Tencent Classroom
Russia,2022,After,48,0.6,60-30-10,Skillshare
Australia,2019,Before,40,4.9,60-30-10,Udemy
China,2024,After,15,1.2,,Udemy
Brazil,2020,During,66,3.8,60-30-10,Unacademy
France,2023,After,55,2.7,60-30-10,OpenLearning
Italy,2018,Before,68,2.8,60-30-10,Udemy
Mexico,2017,Before,50,3.5,60-30-10,Udemy
Italy,2017,Before,,3.4,60-30-10,FutureLearn
Russia,2024,After,83,4.7,60-30-10,Tencent Classroom
France,2018,Before,33,5.0,60-30-10,Unacademy
Brazil,2024,After,76,1.0,60-30-10,OpenLearning
Germany,2022,After,72,5.1,60-30-10,Unacademy
South Korea,2024,After,63,2.4,60-30-10,Tencent Classroom
France,2023,After,21,1.0,60-30-10,FutureLearn
China,2021,During,86,3.0,60-30-10,OpenLearning
Mexico,2017,Before,29,5.1,60-30-10,Coursera
France,2020,During,58,3.8,60-30-10,Coursera
South Africa,2024,After,89,4.6,60-30-10,Alura
South Africa,2020,During,43,1.4,60-30-10,Tencent Classroom
Japan,2023,After,53,5.1,60-30-10,Coursera
UK,2019,Before,25,3.8,60-30-10,Tencent Classroom
South Korea,2022,After,44,3.0,60-30-10,Tencent Classroom
Australia,2019,Before,14,4.7,60-30-10,OpenLearning
South Korea,2017,Before,50,3.5,60-30-10,Unacademy
Mexico,2021,During,64,0.8,60-30-10,Alura
Australia,2021,During,55,4.2,60-30-10,Unacademy
Russia,2017,Before,28,1.5,60-30-10,OpenLearning
Brazil,2022,After,10,4.8,60-30-10,LinkedIn Learning
Mexico,2021,During,11,1.0,60-30-10,Skillshare
Mexico,2017,Before,51,1.7,60-30-10,Tencent Classroom
Italy,2023,After,22,2.6,60-30-10,Tencent Classroom
Germany,2019,Before,18,5.1,40-50-10,LinkedIn Learning
France,2022,After,18,1.6,60-30-10,FutureLearn
South Korea,2024,After,60,4.9,60-30-10,LinkedIn Learning
Germany,2018,Before,78,1.3,60-30-10,OpenLearning
Japan,2021,During,21,3.8,60-30-10,OpenLearning
China,2020,During,41,2.5,60-30-10,Coursera
Germany,2023,After,15,5.2,60-30-10,Unacademy
South Africa,2020,During,78,4.8,60-30-10,Skillshare
South Africa,2023,After,17,2.7,60-30-10,FutureLearn
UK,2019,Before,88,2.0,60-30-10,Coursera
Italy,2017,Before,72,2.8,60-30-10,LinkedIn Learning
South Africa,2023,After,40,3.2,60-30-10,FutureLearn
Italy,2022,After,38,4.3,60-30-10,LinkedIn Learning
South Africa,2022,After,73,1.1,60-30-10,OpenLearning
Japan,2022,After,47,4.3,60-30-10,LinkedIn Learning
Germany,2024,After,81,5.1,60-30-10,Unacademy
Mexico,2023,After,42,4.1,60-30-10,Tencent Classroom
South Africa,2023,After,46,0.8,60-30-10,Skillshare
UK,2020,During,44,1.3,60-30-10,Skillshare
South Africa,2024,After,61,3.2,60-30-10,FutureLearn
Italy,2019,Before,64,2.5,60-30-10,LinkedIn Learning
South Korea,2020,During,39,2.4,60-30-10,FutureLearn
Australia,2020,During,51,2.6,60-30-10,LinkedIn Learning
Japan,2020,During,37,1.2,60-30-10,Udemy
Italy,2022,After,57,2.5,60-30-10,FutureLearn
Italy,2019,Before,45,3.0,60-30-10,Udemy
South Korea,2017,Before,56,5.1,60-30-10,FutureLearn
South Africa,2017,Before,65,5.1,60-30-10,LinkedIn Learning
Brazil,2020,During,86,5.2,60-30-10,Udemy
South Africa,2017,Before,20,4.8,60-30-10,Tencent Classroom
Germany,2017,Before,38,1.9,60-30-10,Tencent Classroom
South Africa,2024,After,83,2.1,60-30-10,Alura
UK,2023,After,76,5.0,60-30-10,Alura
Brazil,2024,After,88,2.2,60-30-10,LinkedIn Learning
South Korea,2022,After,21,N/A,60-30-10,N/A
Italy,2023,After,81,1.1,60-30-10,OpenLearning
China,2021,During,35,2.5,60-30-10,Skillshare
Mexico,2017,Before,80,5.2,60-30-10,Udemy
UK,2020,During,12,4.1,60-30-10,FutureLearn
France,2021,During,72,1.4,60-30-10,Skillshare
China,2022,After,62,4.4,60-30-10,FutureLearn
Mexico,2018,Before,77,0.7,60-30-10,Skillshare
South Africa,2021,During,74,2.1,60-30-10,Unacademy
South Africa,2024,After,46,4.4,60-30-10,FutureLearn
Germany,2018,Before,15,2.9,60-30-10,Skillshare
France,2021,During,31,4.0,60-30-10,Skillshare
Germany,2018,Before,50,4.9,60-30-10,Coursera
France,2019,Before,29,2.3,60-30-10,Tencent Classroom
Australia,2023,After,62,3.9,60-30-10,Coursera
Mexico,2021,During,66,2.4,60-30-10,Tencent Classroom
Russia,2024,After,73,4.8,60-30-10,Unacademy
Brazil,2021,During,76,1.3,60-30-10,Coursera
Germany,2020,During,81,4.5,60-30-10,FutureLearn
Russia,2018,Before,45,3.2,60-30-10,LinkedIn Learning
Russia,2021,During,86,0.9,60-30-10,Tencent Classroom
Germany,2020,During,86,3.3,60-30-10,Coursera
France,2024,After,80,2.5,60-30-10,Unacademy
Italy,2024,After,61,4.1,60-30-10,OpenLearning
South Korea,2019,Before,60,0.8,60-30-10,Unacademy
Australia,2021,During,67,1.3,60-30-10,FutureLearn
Japan,2017,Before,12,4.0,60-30-10,Alura
UK,2023,After,34,4.8,60-30-10,LinkedIn Learning
Australia,2017,Before,89,1.2,60-30-10,Coursera
Brazil,2024,After,42,1.1,60-30-10,OpenLearning
Mexico,2017,Before,14,3.0,60-30-10,FutureLearn
Australia,2022,After,83,4.2,60-30-10,Skillshare
South Korea,2023,After,35,0.6,60-30-10,Tencent Classroom
Germany,2023,After,51,4.2,60-30-10,OpenLearning
China,2020,During,64,1.2,60-30-10,Skillshare
Russia,2019,Before,49,1.8,60-30-10,FutureLearn
South Africa,2021,During,43,5.5,60-30-10,Udemy
Mexico,2017,Before,43,4.8,60-30-10,OpenLearning
Russia,2023,After,54,3.9,60-30-10,Skillshare
Italy,2017,Before,49,1.2,60-30-10,OpenLearning
Japan,2024,After,61,1.7,60-30-10,Udemy
UK,2018,Before,38,0.9,60-30-10,Skillshare
South Korea,2023,After,31,0.6,60-30-10,Udemy
Italy,2017,Before,21,5.4,60-30-10,Tencent Classroom
France,2023,After,63,3.9,60-30-10,OpenLearning
South Africa,2023,After,42,3.8,60-30-10,FutureLearn
Germany,2020,During,55,1.4,60-30-10,Coursera
South Africa,2024,After,39,3.9,60-30-10,Coursera
South Africa,2018,Before,83,2.6,60-30-10,LinkedIn Learning
Australia,2023,After,28,2.4,60-30-10,LinkedIn Learning
Russia,2023,After,86,2.4,60-30-10,OpenLearning
Australia,2021,During,14,4.4,60-30-10,LinkedIn Learning
Germany,2021,During,55,5.1,60-30-10,Unacademy
South Africa,2022,After,50,2.8,60-30-10,Coursera
Italy,2019,Before,46,2.7,60-30-10,FutureLearn
Brazil,2018,Before,N/A,2.3,60-30-10,OpenLearning
Italy,2020,During,87,4.2,60-30-10,OpenLearning
China,2017,Before,14,4.1,60-30-10,LinkedIn Learning
Italy,2018,Before,54,4.7,60-30-10,Coursera
Mexico,2021,During,13,1.7,60-30-10,FutureLearn
Italy,2021,During,80,4.7,60-30-10,Udemy
South Korea,2021,During,87,4.5,60-30-10,Skillshare
UK,2023,After,58,3.2,60-30-10,Tencent Classroom
Italy,2024,After,57,2.3,60-30-10,FutureLearn
UK,2019,Before,89,3.0,60-30-10,LinkedIn Learning
UK,2020,During,18,1.2,60-30-10,Coursera
Brazil,2022,After,67,5.0,60-30-10,N/A
Brazil,2018,Before,47,4.5,60-30-10,Tencent Classroom
South Korea,2024,After,84,1.9,60-30-10,Unacademy
South Korea,2019,Before,77,2.0,60-30-10,Skillshare
Russia,2022,After,18,4.9,60-30-10,Skillshare
Japan,2023,After,37,1.2,60-30-10,LinkedIn Learning
Mexico,2024,After,26,3.7,60-30-10,OpenLearning
Italy,2021,During,46,4.6,60-30-10,Coursera
China,2020,During,12,3.7,60-30-10,LinkedIn Learning
Brazil,2024,After,27,5.2,60-30-10,Alura
South Korea,2022,After,59,2.2,60-30-10,Coursera
UK,2020,During,84,1.0,60-30-10,OpenLearning
Australia,2017,Before,90,4.1,60-30-10,Udemy
Russia,2017,Before,43,4.5,60-30-10,FutureLearn
Japan,2019,Before,10,2.9,60-30-10,Tencent Classroom
Germany,2024,After,19,4.0,60-30-10,FutureLearn
South Korea,2018,Before,32,5.5,60-30-10,Udemy
Mexico,2023,After,54,5.4,60-30-10,LinkedIn Learning
South Africa,2017,Before,42,0.8,60-30-10,Unacademy
South Africa,2024,After,34,5.1,60-30-10,Unacademy
Italy,2023,After,43,4.7,60-30-10,Tencent Classroom
China,2018,Before,68,1.6,60-30-10,Coursera
South Africa,2020,During,19,2.2,60-30-10,LinkedIn Learning
France,2023,After,38,4.7,60-30-10,Coursera
France,2019,Before,39,3.1,60-30-10,Unacademy
Brazil,2020,During,41,3.4,60-30-10,Skillshare
Brazil,2018,Before,80,1.4,60-30-10,Coursera
South Africa,2024,After,84,2.5,60-30-10,LinkedIn Learning
Russia,2019,Before,29,4.9,60-30-10,Udemy
Brazil,2022,After,46,2.9,60-30-10,Skillshare
UK,2021,During,42,1.4,60-30-10,Tencent Classroom
France,2019,Before,42,2.8,60-30-10,Alura
South Africa,2023,After,47,1.8,60-30-10,Coursera
Mexico,2020,During,41,4.0,60-30-10,LinkedIn Learning
Russia,2019,Before,14,3.1,60-30-10,Alura
Germany,2020,During,52,4.0,60-30-10,Alura
Italy,2024,After,32,1.1,60-30-10,Tencent Classroom
China,2024,After,41,,60-30-10,Udemy
Mexico,2024,After,22,2.8,60-30-10,LinkedIn Learning
South Korea,2017,Before,11,5.4,60-30-10,Alura
Russia,2024,After,19,0.7,60-30-10,FutureLearn
China,2023,After,83,4.1,60-30-10,Tencent Classroom
Italy,2024,After,23,3.6,60-30-10,Tencent Classroom
China,2018,Before,60,5.3,60-30-10,OpenLearning
Germany,2024,After,84,3.0,60-30-10,Unacademy
Italy,2021,During,70,4.7,60-30-10,FutureLearn
South Korea,2020,During,81,4.8,60-30-10,Tencent Classroom
France,2019,Before,47,2.2,60-30-10,OpenLearning
South Africa,2023,After,14,2.5,60-30-10,Udemy
South Korea,2017,Before,71,1.9,60-30-10,Coursera
UK,2018,Before,59,3.1,60-30-10,Skillshare
South Africa,2021,During,49,1.6,60-30-10,Tencent Classroom
South Korea,2022,After,39,1.7,60-30-10,FutureLearn
Australia,2022,After,25,5.0,60-30-10,FutureLearn
Russia,2019,Before,85,4.8,60-30-10,Alura
France,2024,After,19,3.1,60-30-10,Tencent Classroom
Germany,2017,Before,11,1.7,60-30-10,Udemy
Japan,2023,After,13,1.4,60-30-10,Udemy
South Africa,2023,After,41,4.7,60-30-10,FutureLearn
South Korea,2017,Before,78,3.4,60-30-10,LinkedIn Learning
China,2020,During,85,1.0,60-30-10,Coursera
UK,2019,Before,81,4.7,60-30-10,Unacademy
China,2020,During,38,3.1,60-30-10,Unacademy
South Africa,2022,After,38,5.3,60-30-10,Udemy
Germany,2023,After,62,3.6,60-30-10,Coursera
Mexico,2023,After,62,2.3,60-30-10,Coursera
South Africa,2021,During,42,3.5,60-30-10,Skillshare
France,2022,After,83,4.8,60-30-10,LinkedIn Learning
Australia,2018,Before,83,2.7,60-30-10,OpenLearning
France,2019,Before,37,1.3,60-30-10,LinkedIn Learning
Australia,2020,During,63,0.8,60-30-10,Alura
Russia,2023,After,21,1.5,60-30-10,Coursera
Brazil,2022,After,20,5.1,60-30-10,FutureLearn
South Korea,2019,Before,20,2.6,60-30-10,Unacademy
Brazil,2024,After,25,4.2,60-30-10,FutureLearn
France,2024,After,17,2.2,60-30-10,FutureLearn
Australia,2019,Before,23,4.8,60-30-10,Coursera
South Africa,2019,Before,49,2.9,60-30-10,Alura
Germany,2018,Before,16,3.1,60-30-10,Skillshare
Russia,2023,After,33,5.0,60-30-10,FutureLearn
France,2022,After,53,5.4,60-30-10,Udemy
Australia,2022,After,10,4.7,60-30-10,OpenLearning
Mexico,2018,Before,10,3.2,60-30-10,Unacademy
China,2024,After,16,4.6,60-30-10,Alura
UK,2021,During,42,0.8,60-30-10,FutureLearn
Japan,2018,Before,81,2.7,60-30-10,Coursera
South Korea,2024,After,81,4.0,60-30-10,Tencent Classroom
Russia,2024,After,85,3.3,60-30-10,LinkedIn Learning
South Africa,2022,After,45,2.5,60-30-10,Coursera
Italy,2021,During,24,2.6,60-30-10,Udemy
Italy,2021,During,60,1.5,60-30-10,FutureLearn
Germany,2018,Before,36,2.9,,LinkedIn Learning
Mexico,2023,After,27,2.6,60-30-10,LinkedIn Learning
South Africa,2021,During,77,3.0,60-30-10,Unacademy
Japan,2022,After,62,4.6,60-30-10,Udemy
China,2023,After,19,4.8,60-30-10,LinkedIn Learning
South Africa,2021,During,78,2.0,60-30-10,LinkedIn Learning
China,2020,During,17,2.5,60-30-10,Unacademy
France,2019,Before,19,0.6,60-30-10,Skillshare
Australia,2024,After,10,0.6,60-30-10,LinkedIn Learning
Australia,2019,Before,59,2.4,60-30-10,Udemy
South Korea,2019,Before,50,1.9,60-30-10,Udemy
UK,2023,After,30,3.1,60-30-10,Coursera
France,2023,After,64,3.9,60-30-10,Coursera
Italy,2020,During,66,4.3,60-30-10,Unacademy
Brazil,2024,After,38,2.3,60-30-10,FutureLearn
Italy,2020,During,55,N/A,N/A,Tencent Classroom
Brazil,2023,After,52,2.1,60-30-10,Tencent Classroom
South Korea,2018,Before,11,3.7,60-30-10,Skillshare
Italy,2018,Before,43,1.3,60-30-10,FutureLearn
South Korea,2023,After,71,1.5,60-30-10,Coursera
Brazil,2020,During,65,2.5,60-30-10,Tencent Classroom
UK,2023,After,80,4.1,60-30-10,Udemy
Australia,2020,During,53,4.2,60-30-10,Tencent Classroom
China,2021,During,37,N/A,60-30-10,FutureLearn
China,2024,After,51,2.0,60-30-10,OpenLearning
Japan,2023,After,67,2.8,60-30-10,LinkedIn Learning
UK,2018,Before,76,1.4,60-30-10,Skillshare
South Africa,2024,After,73,2.3,60-30-10,Coursera
Mexico,2018,Before,21,4.0,60-30-10,FutureLearn
Russia,2018,Before,14,0.7,60-30-10,OpenLearning
Mexico,2024,After,49,3.5,60-30-10,Skillshare
UK,2017,Before,74,5.1,60-30-10,Tencent Classroom
Japan,2020,During,42,0.6,60-30-10,OpenLearning
Australia,2019,Before,14,2.9,60-30-10,Unacademy
Russia,2024,After,43,0.8,60-30-10,Alura
Brazil,2020,During,18,4.2,60-30-10,FutureLearn
Germany,2017,Before,84,5.3,60-30-10,LinkedIn Learning
Russia,2022,After,53,3.5,60-30-10,Alura
Brazil,2019,Before,52,2.3,60-30-10,Coursera
Germany,2021,During,69,2.0,60-30-10,Alura
Australia,2021,During,20,4.1,,Unacademy
Japan,2017,Before,30,3.4,60-30-10,Alura
Italy,2018,Before,68,2.6,60-30-10,Unacademy
Germany,2022,After,32,2.2,60-30-10,Unacademy
Australia,2019,Before,75,4.7,60-30-10,Unacademy
Germany,2020,During,64,3.3,60-30-10,LinkedIn Learning
South Africa,2023,After,46,0.8,60-30-10,Skillshare
Italy,2019,Before,15,3.4,60-30-10,OpenLearning
France,2019,Before,79,5.3,60-30-10,Coursera
Germany,2022,After,44,1.6,60-30-10,Coursera
South Africa,2020,During,70,1.6,60-30-10,Unacademy
Russia,2018,Before,28,0.9,60-30-10,Unacademy
China,2018,Before,86,3.4,60-30-10,Skillshare
Mexico,2017,Before,13,5.3,60-30-10,Alura
France,2018,Before,38,0.9,60-30-10,LinkedIn Learning
Australia,2018,Before,55,4.2,60-30-10,Alura
China,2018,Before,52,3.2,60-30-10,
China,2017,Before,54,1.6,60-30-10,Tencent Classroom
Germany,2023,After,75,1.4,60-30-10,Unacademy
South Korea,2017,Before,85,5.2,60-30-10,Unacademy
Russia,2020,During,49,1.7,60-30-10,Udemy
Japan,2024,After,81,0.8,60-30-10,Alura
Mexico,2017,Before,64,0.9,60-30-10,OpenLearning
South Africa,2020,During,49,3.8,60-30-10,OpenLearning
Russia,2018,Before,13,2.4,60-30-10,LinkedIn Learning
South Korea,2018,Before,32,3.9,60-30-10,Unacademy
Germany,2019,Before,73,4.7,60-30-10,LinkedIn Learning
Germany,2021,During,52,1.4,60-30-10,Tencent Classroom
UK,2019,Before,31,3.7,60-30-10,FutureLearn
Japan,2018,Before,16,3.1,60-30-10,Alura
Japan,2019,Before,58,5.0,60-30-10,Tencent Classroom
Mexico,2022,After,81,3.1,60-30-10,Skillshare
Russia,2024,After,66,2.1,60-30-10,Skillshare
China,2023,After,83,5.2,60-30-10,Tencent Classroom
South Korea,2020,During,74,2.6,60-30-10,OpenLearning
Japan,2017,Before,20,2.5,60-30-10,Alura
South Korea,2023,After,24,1.5,60-30-10,Tencent Classroom
Australia,2017,Before,31,4.6,60-30-10,Udemy
Japan,2022,After,54,5.2,60-30-10,Tencent Classroom
Japan,2020,During,36,3.1,60-30-10,OpenLearning
Germany,2022,After,32,4.1,60-30-10,Udemy
Russia,2017,Before,76,1.7,60-30-10,Alura
Australia,2020,During,76,2.0,60-30-10,OpenLearning
UK,2019,Before,21,1.8,60-30-10,FutureLearn
Australia,2018,Before,17,0.7,60-30-10,Udemy
Russia,2023,After,88,3.5,60-30-10,LinkedIn Learning
Australia,2024,After,57,0.7,60-30-10,Alura
China,2021,During,78,3.9,60-30-10,Udemy
Germany,2020,During,46,5.1,60-30-10,Unacademy
South Korea,2019,Before,49,1.7,60-30-10,FutureLearn
South Africa,2024,After,22,3.0,60-30-10,Unacademy
Brazil,2021,During,30,1.2,60-30-10,FutureLearn
Germany,2024,After,49,0.8,60-30-10,Unacademy
Germany,2017,Before,32,2.6,60-30-10,Alura
Mexico,2018,Before,N/A,5.3,60-30-10,FutureLearn
Japan,2018,Before,34,3.9,60-30-10,Alura
Japan,2019,Before,31,2.7,60-30-10,LinkedIn Learning
China,2020,During,50,5.0,60-30-10,Tencent Classroom
South Africa,2022,After,29,4.3,60-30-10,Tencent Classroom
UK,2021,During,70,3.6,60-30-10,Skillshare
Russia,2022,After,75,4.7,60-30-10,Skillshare
South Korea,2020,During,82,1.7,60-30-10,LinkedIn Learning
South Korea,2023,After,21,3.2,60-30-10,Unacademy
France,2018,Before,31,3.6,60-30-10,FutureLearn
Australia,2024,After,40,4.7,60-30-10,FutureLearn
South Korea,2018,Before,75,2.7,60-30-10,Unacademy
China,2023,After,56,2.7,60-30-10,Udemy
South Africa,2020,During,74,3.4,60-30-10,Alura
Japan,2022,After,17,5.3,60-30-10,Tencent Classroom
South Africa,2024,After,34,3.4,60-30-10,FutureLearn
Brazil,2019,Before,60,2.6,60-30-10,Unacademy
China,2023,After,26,2.0,60-30-10,Udemy
France,2021,During,66,1.1,60-30-10,Udemy
Australia,2020,During,10,1.9,60-30-10,OpenLearning
UK,2023,After,53,3.5,60-30-10,Tencent Classroom
Russia,2021,During,34,0.7,60-30-10,LinkedIn Learning
Australia,2019,Before,27,2.2,60-30-10,LinkedIn Learning
China,2020,During,13,2.8,60-30-10,Coursera
China,2024,After,53,2.9,60-30-10,OpenLearning
China,2023,After,28,1.7,60-30-10,Coursera
Italy,2019,Before,18,3.1,60-30-10,Tencent Classroom
Mexico,2021,During,75,2.0,N/A,LinkedIn Learning
Germany,2019,Before,61,2.0,60-30-10,Tencent Classroom
France,2019,Before,43,1.2,60-30-10,Alura
Germany,2021,During,23,3.2,60-30-10,Coursera
Germany,2024,After,47,4.5,60-30-10,Coursera
Japan,2021,During,15,3.6,60-30-10,Alura
South Africa,2021,During,60,1.5,60-30-10,Alura
South Korea,2024,After,27,3.4,60-30-10,Coursera
China,2022,After,15,5.1,60-30-10,Unacademy
Australia,2023,After,12,0.7,60-30-10,OpenLearning
Russia,2020,During,13,4.8,60-30-10,Udemy
France,2019,Before,76,3.3,60-30-10,Tencent Classroom
Mexico,2023,After,32,3.9,60-30-10,OpenLearning
Mexico,2020,During,80,3.0,60-30-10,Coursera
Mexico,2023,After,71,5.1,60-30-10,OpenLearning
China,2019,Before,58,2.7,60-30-10,Unacademy
China,2017,Before,49,0.9,60-30-10,Skillshare
France,2024,After,36,0.6,60-30-10,Tencent Classroom
Brazil,2023,After,78,4.5,60-30-10,Coursera
Russia,2023,After,54,4.2,60-30-10,FutureLearn
Australia,2017,Before,66,1.2,60-30-10,Udemy
